i t_now roll pitch yaw dyaw psi_1 psi_2 psi_3 dpsi1 dpsi2 dpsi3 Tz 
1 10.00096869468689 -0.0 0.0 0.09433981869369745 18.86796373873949 -1.0 -1.0 0.0 -11.0 -2.0 0.0 0.25 
2 10.005744695663452 -0.0 0.0 0.09433981869369745 0.0 -12.0 -3.0 0.0 0.0 0.0 0.0 0.25 
3 10.010884046554565 -0.0 0.0 0.09433981869369745 0.0 -12.0 -3.0 0.0 0.0 0.0 0.0 0.25 
4 10.015716314315796 -0.0 0.0 0.09433981869369745 0.0 -12.0 -3.0 0.0 0.0 1.0 0.0 0.25 
5 10.020747423171997 -0.0 0.0 0.09433981869369745 0.0 -12.0 -2.0 0.0 1.0 0.0 1.0 0.25 
6 10.025994300842285 -0.0 0.0 0.09433981869369745 0.0 -12.0 -2.0 0.0 1.0 0.0 1.0 0.25 
7 10.030777215957642 -0.0 0.0 0.09433981869369745 0.0 -11.0 -2.0 1.0 1.0 1.0 1.0 0.25 
8 10.035938024520874 -0.0 0.0 0.09433981869369745 0.0 -10.0 -1.0 2.0 2.0 2.0 0.0 0.25 
9 10.04070496559143 -0.0 0.0 0.09433981869369745 0.0 -7.0 2.0 3.0 2.0 2.0 2.0 0.25 
10 10.045776605606079 -0.0 0.0 0.09433981869369745 0.0 -7.0 2.0 3.0 2.0 2.0 2.0 0.25 
11 10.050698041915894 -0.00019174814224243164 0.00019174814224243164 0.09453156590461731 0.038349442183971405 -3.0 6.0 6.0 2.0 2.0 2.0 0.25 
12 10.0556960105896 -0.00019174814224243164 0.00019174814224243164 0.09472331358119845 0.03834953531622887 -1.0 8.0 8.0 2.0 3.0 2.0 0.25 
13 10.060697555541992 -0.00019174814224243164 0.00019174814224243164 0.09510680893436074 0.07669907063245773 1.0 11.0 10.0 2.0 2.0 3.0 0.25 
14 10.065709590911865 -0.00019174814224243164 0.00019174814224243164 0.09510680893436074 0.0 1.0 11.0 10.0 2.0 2.0 3.0 0.25 
15 10.070810556411743 -0.000575236976146698 0.00019174814224243164 0.09587379917502403 0.153398048132658 3.0 13.0 13.0 3.0 3.0 2.0 0.25 
16 10.075944423675537 -0.0007669851183891296 0.0 0.09702428500168025 0.23009716533124447 6.0 16.0 15.0 2.0 2.0 3.0 0.25 
17 10.080769538879395 -0.0007669851183891296 0.0 0.09855826571583748 0.30679614283144474 8.0 18.0 18.0 2.0 3.0 3.0 0.25 
18 10.085700511932373 -0.000575236976146698 0.00019174814224243164 0.10028399419388734 0.3451456956099719 10.0 21.0 21.0 3.0 2.0 3.0 0.25 
19 10.090704441070557 -0.000575236976146698 0.0003834962844848633 0.10392719879746437 0.7286409207154065 16.0 26.0 27.0 3.0 3.0 3.0 0.25 
20 10.095723867416382 -0.000575236976146698 0.0003834962844848633 0.10392719879746437 0.0 16.0 26.0 27.0 3.0 3.0 3.0 0.25 
21 10.10111403465271 -0.0009587332606315613 0.000575236976146698 0.10776215046644211 0.7669903337955475 22.0 32.0 34.0 3.0 3.0 3.0 0.25 
22 10.105680465698242 -0.0013422295451164246 0.0007669851183891296 0.10967962723225355 0.38349535316228867 25.0 35.0 37.0 3.0 4.0 3.0 0.25 
23 10.110820293426514 -0.0013422295451164246 0.0007669851183891296 0.10967962723225355 0.0 28.0 39.0 40.0 3.0 4.0 3.0 0.25 
24 10.11568307876587 -0.0017257258296012878 0.0009587332606315613 0.11351457890123129 0.7669903337955475 31.0 43.0 43.0 4.0 4.0 3.0 0.25 
25 10.120747566223145 -0.0017257258296012878 0.0009587332606315613 0.11351457890123129 0.0 31.0 43.0 43.0 4.0 4.0 3.0 0.25 
26 10.1257004737854 -0.0024927183985710144 0.001150481402873993 0.1173495315015316 0.7669905200600624 38.0 50.0 50.0 3.0 4.0 3.0 0.25 
27 10.130757808685303 -0.0024927183985710144 0.001150481402873993 0.1173495315015316 0.0 38.0 50.0 50.0 3.0 4.0 3.0 0.25 
28 10.135693073272705 -0.003259703516960144 0.0015339776873588562 0.12156797759234905 0.8436892181634903 45.0 57.0 57.0 3.0 4.0 3.0 0.25 
29 10.140788793563843 -0.003259703516960144 0.0015339776873588562 0.12156797759234905 0.0 45.0 57.0 57.0 3.0 4.0 3.0 0.25 
30 10.145692348480225 -0.0036431998014450073 0.0017257258296012878 0.12386894971132278 0.4601944237947464 48.0 61.0 60.0 4.0 3.0 3.0 0.25 
31 10.15112018585205 -0.004410192370414734 0.002109222114086151 0.12904613465070724 1.035436987876892 56.0 68.0 67.0 3.0 3.0 3.0 0.25 
32 10.155759811401367 -0.004410192370414734 0.002109222114086151 0.12904613465070724 0.0 56.0 68.0 67.0 3.0 3.0 3.0 0.25 
33 10.16069769859314 -0.004985436797142029 0.0023009702563285828 0.13153885304927826 0.4985436797142029 59.0 71.0 70.0 4.0 4.0 4.0 0.25 
34 10.165740489959717 -0.005368933081626892 0.002684466540813446 0.13403157144784927 0.4985436797142029 63.0 75.0 74.0 4.0 3.0 3.0 0.25 
35 10.17077374458313 -0.005752429366111755 0.0028762146830558777 0.13671603798866272 0.5368933081626892 67.0 78.0 77.0 4.0 3.0 3.0 0.25 
36 10.175856590270996 -0.006519414484500885 0.003259703516960144 0.14170147478580475 0.9970873594284058 75.0 85.0 83.0 4.0 3.0 4.0 0.25 
37 10.180721044540405 -0.006519414484500885 0.003259703516960144 0.14170147478580475 0.0 75.0 85.0 83.0 4.0 3.0 4.0 0.25 
38 10.185693502426147 -0.006902910768985748 0.0034514516592025757 0.14419419690966606 0.4985444247722626 79.0 88.0 87.0 3.0 3.0 3.0 0.25 
39 10.190698146820068 -0.007286407053470612 0.0036431998014450073 0.14668691530823708 0.4985436797142029 87.0 96.0 94.0 4.0 3.0 4.0 0.25 
40 10.19594430923462 -0.008053399622440338 0.004026696085929871 0.15205584838986397 1.0737866163253784 91.0 99.0 98.0 4.0 3.0 3.0 0.25 
41 10.200720071792603 -0.008053399622440338 0.004026696085929871 0.15205584838986397 0.0 91.0 99.0 98.0 4.0 3.0 3.0 0.25 
42 10.205897331237793 -0.008436895906925201 0.004218444228172302 0.15474031493067741 0.5368933081626892 95.0 102.0 101.0 4.0 4.0 3.0 0.25 
43 10.210776090621948 -0.009203881025314331 0.0046019405126571655 0.16030099242925644 1.112135499715805 103.0 110.0 107.0 4.0 3.0 4.0 0.25 
44 10.21622109413147 -0.009587377309799194 0.004985436797142029 0.16298545897006989 0.5368933081626892 107.0 113.0 111.0 5.0 4.0 3.0 0.25 
45 10.220743656158447 -0.009587377309799194 0.004985436797142029 0.16298545897006989 0.0 107.0 113.0 111.0 5.0 4.0 3.0 0.25 
46 10.225697040557861 -0.009970873594284058 0.0051771849393844604 0.16566992551088333 0.5368933081626892 112.0 117.0 114.0 4.0 4.0 4.0 0.25 
47 10.23071575164795 -0.010354369878768921 0.005368933081626892 0.16816264390945435 0.4985436797142029 116.0 121.0 118.0 5.0 4.0 4.0 0.25 
