i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.015701532363892 -0.0 0.0 0 0 0 0.0 0.0 0.0 24438.0 45138.0 -32692.0 0 0 
2 10.020716905593872 -0.0 0.0 0 0 0 0.0 0.0 0.0 24438.0 45138.0 -32692.0 0 0 
3 10.025705575942993 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45802.0 -33260.0 0 0 
4 10.030726909637451 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45802.0 -33260.0 0 0 
5 10.035656690597534 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45802.0 -33260.0 0 0 
6 10.04082465171814 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45802.0 -33260.0 0 0 
7 10.045844554901123 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45803.0 -33260.0 0 0 
8 10.050673961639404 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45803.0 -33260.0 0 0 
9 10.055684566497803 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45803.0 -33260.0 0 0 
10 10.060657739639282 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45803.0 -33260.0 0 0 
11 10.065753698348999 -0.0 0.0 0 0 0 0.0 0.0 0.0 25047.0 45803.0 -33260.0 0 0 
12 10.070668458938599 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
13 10.075764656066895 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
14 10.080709218978882 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
15 10.085766792297363 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
16 10.09106707572937 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
17 10.0957190990448 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
18 10.1006600856781 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
19 10.105711936950684 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
20 10.110653162002563 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
21 10.115803480148315 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
22 10.12064504623413 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
23 10.125643968582153 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
24 10.130601167678833 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
25 10.135643482208252 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
26 10.140612125396729 -0.0 0.0 0 0 0 0.0 0.0 0.0 25048.0 45804.0 -33259.0 0 0 
