i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.005624294281006 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2676.0 -3704.0 0 0 
2 10.010616064071655 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2676.0 -3704.0 0 0 
3 10.015591144561768 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2676.0 -3704.0 0 0 
4 10.020575284957886 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2676.0 -3703.0 0 0 
5 10.025869607925415 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2676.0 -3703.0 0 0 
6 10.030614376068115 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2676.0 -3703.0 0 0 
7 10.035936117172241 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2677.0 -3702.0 0 0 
8 10.040618658065796 -0.0 0.0 0 0 0 0.0 0.0 0.0 4958.0 2677.0 -3702.0 0 0 
9 10.045875310897827 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2677.0 -3702.0 0 0 
10 10.05066704750061 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2677.0 -3702.0 0 0 
11 10.055608987808228 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2677.0 -3702.0 0 0 
12 10.060614109039307 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2677.0 -3702.0 0 0 
13 10.065582513809204 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2678.0 -3702.0 0 0 
14 10.070594072341919 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2678.0 -3702.0 0 0 
15 10.075582265853882 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2678.0 -3702.0 0 0 
16 10.0805823802948 -0.0 0.00019174814224243164 0 0 0 0.0 0.0 0.0 4959.0 2678.0 -3702.0 0 0 
