i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 
1 10.00078272819519 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -1.0 0.0 -1.0 
2 10.005739212036133 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
3 10.01081109046936 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
4 10.015739440917969 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
5 10.020794153213501 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
6 10.025783061981201 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
7 10.030733346939087 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
8 10.035786867141724 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -1.0 -1.0 
9 10.040729761123657 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
10 10.045921325683594 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
11 10.050733089447021 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
12 10.056148052215576 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
13 10.060726881027222 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
14 10.065761804580688 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
15 10.07071304321289 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
16 10.075835943222046 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
17 10.08072543144226 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
18 10.085742950439453 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
19 10.090710639953613 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
20 10.09580111503601 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
21 10.100754022598267 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
22 10.105749130249023 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
23 10.110710859298706 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
24 10.115890979766846 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
25 10.120713233947754 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
26 10.1257483959198 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
27 10.130861520767212 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
28 10.135745525360107 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
29 10.140726327896118 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
30 10.145945310592651 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
31 10.1507248878479 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
32 10.15568995475769 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
33 10.160693407058716 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
34 10.165741920471191 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
35 10.170694828033447 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
36 10.176292657852173 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
37 10.180700302124023 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
38 10.1857168674469 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
39 10.190712451934814 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
40 10.195905923843384 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
41 10.200899600982666 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
42 10.205699682235718 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
43 10.21070384979248 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
44 10.216223001480103 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
45 10.22072172164917 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
46 10.226053476333618 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
47 10.230718851089478 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
48 10.235716819763184 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
49 10.240689277648926 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
50 10.24568772315979 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
51 10.250699043273926 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
52 10.255695343017578 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
53 10.260713815689087 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
54 10.265716314315796 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
55 10.270714282989502 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
56 10.27571439743042 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
57 10.280716896057129 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
58 10.285780191421509 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
59 10.290714025497437 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
60 10.295759439468384 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
61 10.300705194473267 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
62 10.305720090866089 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
63 10.310741662979126 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
64 10.31573748588562 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
65 10.320767641067505 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
66 10.32571029663086 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
67 10.330703258514404 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
68 10.335707664489746 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
69 10.340728282928467 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
70 10.345735549926758 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
71 10.350786209106445 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
72 10.355720281600952 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
73 10.360865831375122 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
74 10.365748882293701 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
75 10.370750188827515 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
76 10.376043796539307 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
77 10.380733728408813 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
78 10.385737419128418 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
79 10.39114785194397 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
80 10.395716428756714 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
81 10.400760412216187 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
82 10.405781745910645 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
83 10.410756826400757 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
84 10.41575837135315 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
85 10.420781135559082 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
86 10.425747632980347 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
87 10.430752277374268 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
88 10.435783386230469 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -1.0 
