i t_now x_val y_val Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.010732889175415 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 1.0 -1.0 0 0 
2 10.015621185302734 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
3 10.020692348480225 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
4 10.025620222091675 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
5 10.030624151229858 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
6 10.035646915435791 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
7 10.04068636894226 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
8 10.045623540878296 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
9 10.05065393447876 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
10 10.0556321144104 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
11 10.060683012008667 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
12 10.06562066078186 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
13 10.070764780044556 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
14 10.075603008270264 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
15 10.080671787261963 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
16 10.08562445640564 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
17 10.090686798095703 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
18 10.095661640167236 -0.0 0.0 0 0 0 0.0 0.0 0.0 0.0 2.0 -1.0 0 0 
