i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tix Tiy 
1 10.015758275985718 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
2 10.020851373672485 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
3 10.026018857955933 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
4 10.030883073806763 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 -1.0 0.0 0 0 
5 10.035764217376709 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
6 10.041082859039307 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
7 10.045767545700073 -0.0 0.0 0.10258497134782374 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
8 10.050855159759521 -0.0 0.0 0.10277671896619722 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
9 10.056108474731445 -0.0 0.00019174814224243164 0.1029684665845707 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
10 10.061058759689331 -0.0 0.00019174814224243164 0.1029684665845707 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
11 10.065830945968628 -0.0 0.00019174814224243164 0.1029684665845707 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
12 10.07107663154602 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
13 10.075864315032959 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
14 10.080958366394043 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
15 10.08572006225586 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
16 10.09077501296997 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
17 10.095739126205444 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
18 10.100860357284546 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
19 10.106306076049805 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
20 10.110820770263672 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
21 10.115779161453247 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
22 10.12077260017395 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
23 10.125755071640015 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
24 10.130727291107178 -0.0 0.00019174814224243164 0.10316021414473653 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 
