i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy 
1 10.005761861801147 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
2 10.010790824890137 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
3 10.015773296356201 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
4 10.020771265029907 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
5 10.0257887840271 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
6 10.030737400054932 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
7 10.035908460617065 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
8 10.040756940841675 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
9 10.045763731002808 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
10 10.050734043121338 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
11 10.05584979057312 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
12 10.060734272003174 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
13 10.065788507461548 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
14 10.07074522972107 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
15 10.075815916061401 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
16 10.080747604370117 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
17 10.085783243179321 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
18 10.09075379371643 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
19 10.09575366973877 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
20 10.100719690322876 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
21 10.105734586715698 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
22 10.110768556594849 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
23 10.115735054016113 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
24 10.120729446411133 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
