i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
1 10.010766744613647 -0.0 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 0 0 0 0 0 0 
2 10.015829801559448 -0.0 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 0 0 0 0 0 0 
3 10.020795106887817 -0.0 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 0 0 0 0 0 0 
4 10.025756359100342 -0.0 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 0 0 0 0 0 0 
5 10.030805826187134 -0.0 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 0 0 0 0 0 0 
6 10.035763502120972 -0.0 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 0.0 1.0 0 0 0 0 0 0 0 0 
7 10.04086422920227 -0.00019174814224243164 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
8 10.045753955841064 -0.00019174814224243164 0.0 0.09472331404685974 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
9 10.05079984664917 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
10 10.055745840072632 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
11 10.061031579971313 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
12 10.06611943244934 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
13 10.070876598358154 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
14 10.075739860534668 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
15 10.08078384399414 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
16 10.08574891090393 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
17 10.090750217437744 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
18 10.095760107040405 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
19 10.100748062133789 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
20 10.105729579925537 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
21 10.11072564125061 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
22 10.115719556808472 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
23 10.120757818222046 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
24 10.12571120262146 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
25 10.130759239196777 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
26 10.135710716247559 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
27 10.140751600265503 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
28 10.145715951919556 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
29 10.150782823562622 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
30 10.155775785446167 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
31 10.160725831985474 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
32 10.165731191635132 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
33 10.170735836029053 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
34 10.175726890563965 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
35 10.180789470672607 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
36 10.185723781585693 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
37 10.190759658813477 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
38 10.195724248886108 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
39 10.20076584815979 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
40 10.20581340789795 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
41 10.210861921310425 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
42 10.21572756767273 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
43 10.220741748809814 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
44 10.22581171989441 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
45 10.230757474899292 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
46 10.2357759475708 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
47 10.24071979522705 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
48 10.245790243148804 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
49 10.250730752944946 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
50 10.25578260421753 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
51 10.260716676712036 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
52 10.265781879425049 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
53 10.270726919174194 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
54 10.275784492492676 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
55 10.280721664428711 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
56 10.285785913467407 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
57 10.290729522705078 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
58 10.295753240585327 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
59 10.300724744796753 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
60 10.30577802658081 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
61 10.310727596282959 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
62 10.315767765045166 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
63 10.320786952972412 -0.00019174814224243164 0.0 0.09510680925450288 0 0 0 0.0 0.0 0.0 0.0 1.0 1.0 0 0 0 0 0 0 0 0 
